id	text	pos	source	tone	ipa	category	notes
131120	søkk	NOUN	nb_uttale	1	ˈsœk	homograph	same spelling has multiple dictionary entries
62747	tsjekkisk	NOUN	nb_uttale	1	ˈʃɛkɪsk	homograph	same spelling has multiple dictionary entries
67400	vel	NOUN	nb_uttale	1	ˈvɛl	homograph	same spelling has multiple dictionary entries
20772	grave	ADV	nb_uttale	2	ˈgrɑːvə	homograph	same spelling has multiple dictionary entries
136407	pø	NOUN	nb_g2p	1	pˈøː	homograph	same spelling has multiple dictionary entries
29697	kjæte	NOUN	nb_uttale	2	ˈçeːtə	homograph	same spelling has multiple dictionary entries
24244	hosianna	NOUN	nb_uttale	1	hʊsɪˈɑnɑ	homograph	same spelling has multiple dictionary entries
43951	palme	NOUN	nb_uttale	2	ˈpɑlmə	homograph	same spelling has multiple dictionary entries
121492	løstsittende	ADJ	nb_uttale	1	ˈløːˌstsɪtn̩ə	compound_family	compound; initial=løst; final=sittende
124114	omveges	ADJ	nb_g2p	2	ˈɔmʋˌæ͡ɪəs	compound_family	compound; initial=om; final=veges
42047	om	NOUN	nb_uttale	1	ˈuːm	compound_family	initial component of omveges
113699	forretningsførsel	NOUN	nb_uttale	1	fɔˈrɛtnɪŋsˌfœʂl̩	compound_family	compound; initial=forretning; final=førsel
16720	forretning	NOUN	nb_uttale	1	fɔˈrɛtnɪŋ	compound_family	initial component of forretningsførsel
18747	førsel	NOUN	nb_uttale	1	ˈfœʂl̩	compound_family	final component of forretningsførsel
47224	radarstasjon	NOUN	nb_uttale	1	ˈrɑːdɑrstɑˌʃuːn	compound_family	compound; initial=radar; final=stasjon
47220	radar	NOUN	nb_uttale	1	ˈrɑːdɑr	compound_family	initial component of radarstasjon
56732	stasjon	NOUN	nb_uttale	1	stɑˈʃuːn	compound_family	final component of radarstasjon
43567	overflatepost	NOUN	nb_uttale	2	ˈoːvərflɑːtəˌpɔst	compound_family	compound; initial=overflate; final=post
43565	overflate	NOUN	nb_uttale	2	ˈoːvərˌflɑːtə	compound_family	initial component of overflatepost
45719	post	NOUN	nb_uttale	1	ˈpɔst	compound_family	final component of overflatepost
58304	suksessrik	ADJ	nb_uttale	1	sʉkˈseːˌrɪːk	compound_family	compound; initial=suksess; final=rik
58301	suksess	NOUN	nb_uttale	1	sʉkˈseː	compound_family	initial component of suksessrik
48539	rik	ADJ	nb_uttale	1	ˈrɪːk	compound_family	final component of suksessrik
4942	begivenhetsrik	ADJ	nb_uttale	1	bəˈjɪːvənheːtsˌrɪːk	compound_family	compound; initial=begivenhet; final=rik
4940	begivenhet	NOUN	nb_uttale	1	bəˈjɪːvənˌheːt	compound_family	initial component of begivenhetsrik
109272	bilbensin	NOUN	nb_uttale	2	ˈbɪːlbənˌsɪːn	compound_family	compound; initial=bil; final=bensin
5868	bil	NOUN	nb_uttale	1	ˈbɪːl	compound_family	initial component of bilbensin
5286	bensin	NOUN	nb_uttale	1	bənˈsɪːn	compound_family	final component of bilbensin
4555	barnearbeid	NOUN	nb_uttale	2	ˈbɑːɳəɑrˌbæ͡ɪd	compound_family	compound; initial=barn; final=arbeid
4546	barn	NOUN	nb_uttale	1	ˈbɑːɳ	compound_family	initial component of barnearbeid
2466	arbeid	NOUN	nb_uttale	2	ˈɑrˌbæ͡ɪd	compound_family	final component of barnearbeid
118848	kaffeplantasje	NOUN	nb_g2p	1	kˈɑfəplɑntˌɑːʃə	compound_family	compound; initial=kaffe; final=plantasje
28161	kaffe	NOUN	nb_uttale	1	ˈkɑfə	compound_family	initial component of kaffeplantasje
45148	plantasje	NOUN	nb_uttale	1	plɑnˈtɑːʃə	compound_family	final component of kaffeplantasje
47828	regnestykke	NOUN	nb_uttale	2	ˈræ͡ɪnəˌstʏkə	compound_family	compound; initial=regne; final=stykke
47821	regne	VERB	nb_uttale	2	ˈræ͡ɪnə	compound_family	initial component of regnestykke
57965	stykke	NOUN	nb_uttale	2	ˈstʏkə	compound_family	final component of regnestykke
18280	frysepunkt	NOUN	nb_uttale	2	ˈfryːsəˌpʊŋkt	compound_family	compound; initial=fryse; final=punkt
18274	fryse	VERB	nb_uttale	2	ˈfryːsə	compound_family	initial component of frysepunkt
46897	punkt	NOUN	nb_uttale	1	ˈpʊŋkt	compound_family	final component of frysepunkt
63521	tåle	VERB	nb_uttale	2	ˈtoːlə	short	len=4
39841	møne	NOUN	nb_uttale	2	ˈmøːnə	short	len=4
10317	diss	NOUN	nb_uttale	1	ˈdɪs	short	len=4
55014	Sn	UNKNOWN	nb_uttale	2	ˈstɑnʉm	short	len=2
70038	kikk	NOUN	nb_uttale	1	ˈçɪk	short	len=4
53722	skrø	VERB	nb_uttale	1	ˈskrøː	short	len=4
35058	Li	UNKNOWN	nb_uttale	1	ˈlɪːtɪʊm	short	len=2
27420	jafs	NOUN	nb_uttale	1	ˈjɑfs	short	len=4
3983	b	NOUN	nb_uttale	1	ˈbeː	short	len=1
45057	pist	INTJ	nb_uttale	1	ˈpɪst	short	len=4
37974	merd	NOUN	nb_uttale	1	ˈmæːr	short	len=4
15759	fola	INTJ	nb_uttale	2	ˈfuːlɑ	short	len=4
68390	vime	VERB	nb_uttale	2	ˈvɪːmə	short	len=4
61336	tog	NOUN	nb_uttale	1	ˈtoːg	short	len=3
41234	null	NOUN	nb_uttale	1	ˈnʉl	short	len=4
16094	fordjupingsfag	NOUN	nb_uttale	1	fɔrˈjʉːpɪŋsˌfɑːg	long	len=14
32717	kulturradikaler	NOUN	nb_uttale	1	kʉlˈtʉːrrɑdɪˌkɑːlər	long	len=15
50679	sjølfornektelse	NOUN	nb_uttale	2	ˈʃøːlfɔˌɳɛktl̩sə	long	len=15
67440	velferdsutvalg	NOUN	nb_uttale	2	ˈvɛlfəɖʂʉːˌtvɑlg	long	len=14
117343	hovedansvarlig	ADJ	nb_uttale	2	ˈhuːvədɑnˌsvɑːɭɪ	long	len=14
46358	produktivkrefter	NOUN	nb_uttale	1	prʊdʉkˈtɪːvˌkrɛftər	long	len=16
120205	konsesjonsrunde	NOUN	nb_uttale	1	kɔnsəˈʃuːnsˌrʉndə	long	len=15
132085	testamentseksekutor	NOUN	nb_g2p	1	təstɑmˈɛntsəksəkˈʉːtur	long	len=19
3425	avdukingsseremoni	NOUN	nb_uttale	1	ˈɑːvdʉːkɪŋssərəmʊˌnɪː	long	len=17
10499	dobermannpinsjer	NOUN	nb_uttale	1	ˈdɔbərmɑnˌpɪnʃər	long	len=16
99279	allmennspråklig	ADJ	nb_g2p	2	ˈɑlmənsprˌoːklɪ	long	len=15
26878	instrumentalmusikk	NOUN	nb_uttale	1	ɪnstrʉmənˈtɑːlmʉˌsɪk	long	len=18
39322	motstandsarbeid	NOUN	nb_uttale	2	ˈmuːtstɑnsɑrˌbæ͡ɪd	long	len=15
123803	normalarbeidsdag	NOUN	nb_uttale	1	nʊrˈmɑːlɑrbæ͡ɪdsˌdɑːg	long	len=16
38140	meterbølgesender	NOUN	nb_uttale	1	ˈmeːtərbœlgəˌsɛnər	long	len=16
43482	ouzo	NOUN	nb_uttale	1	ˈuːsʊ	tone1	
100575	lokalpolitikk	NOUN	nb_uttale	1	lʊˈkɑːlpʊlɪˌtɪk	tone1	
8123	botn	NOUN	nb_uttale	1	ˈbɔtn	tone1	
5852	biholebetennelse	NOUN	nb_uttale	1	ˈbɪːhʉːləbəˌtɛnl̩sə	tone1	
68375	vilter	ADJ	nb_uttale	1	ˈvɪltər	tone1	
37363	materialprøving	NOUN	nb_uttale	1	mɑtərɪˈɑːlˌprøːvɪŋ	tone1	
46477	prolongere	VERB	nb_uttale	1	prʊlɔŋˈgeːrə	tone1	
117968	informasjonssikkerhet	NOUN	nb_uttale	1	ɪnfɔrmɑˈʃuːnssɪkərˌheːt	tone1	
2109	anspore	VERB	nb_uttale	1	ˈɑnˌspuːrə	tone1	
53077	skjerp	NOUN	nb_uttale	1	ˈʃærp	tone1	
13428	europium	NOUN	nb_uttale	1	æ͡ʉˈruːpɪʉm	tone1	
23323	herk	NOUN	nb_uttale	1	ˈhærk	tone1	
67968	vertikalsirkel	NOUN	nb_uttale	1	vəʈɪˈkɑːlˌsɪrkəl	tone1	
2702	armégruppe	NOUN	nb_uttale	1	ɑrˈmeːˌgrʉpə	tone1	
34111	lavlønt	ADJ	nb_uttale	1	ˈlɑːvˌlœnt	tone1	
58715	svigerinne	NOUN	nb_uttale	2	svɪgəˈrɪnə	tone2	
118639	innskuddspensjon	NOUN	nb_uttale	2	ˈɪnskʉdspɑŋˌʃuːn	tone2	
34907	leseprøve	NOUN	nb_uttale	2	ˈleːsəˌprøːvə	tone2	
23815	hjemstavn	NOUN	nb_uttale	2	ˈjɛmˌstɑvn	tone2	
65216	utabysbuende	ADJ	nb_uttale	2	ˈʉːtɑbyːsˌbuːənə	tone2	
14462	festetomt	NOUN	nb_uttale	2	ˈfɛstəˌtʊmt	tone2	
57915	stupebrett	NOUN	nb_uttale	2	ˈstʉːpəˌbrɛt	tone2	
47057	påfuglfjør	NOUN	nb_uttale	2	ˈpoːfʉˌglfjøːr	tone2	
25540	håve	VERB	nb_uttale	2	ˈhoːvə	tone2	
40696	nesle	NOUN	nb_uttale	2	ˈnɛslə	tone2	
6719	blåser	NOUN	nb_uttale	2	ˈbloːsər	tone2	
57627	strengle	VERB	nb_uttale	2	ˈstrɛŋlə	tone2	
69075	vovvov	NOUN	nb_uttale	2	ˈvɔvˌvɔv	tone2	
99339	plantevern	NOUN	nb_uttale	2	ˈplɑntəˌvæːɳ	tone2	
62022	trefiberplate	NOUN	nb_uttale	2	ˈtreːfɪːbərˌplɑːtə	tone2	
132718	torvlag	NOUN	nb_g2p	2	tˈɔrʋlˌɑːg	nb_g2p_fallback	
116704	fotosetting	NOUN	nb_g2p	1	fˈuːtusˌɛtɪŋ	nb_g2p_fallback	
128212	skeivvinklet	ADJ	nb_g2p	2	ʃˈæ͡ɪʋʋˌɪŋklət	nb_g2p_fallback	
133820	undervassteknologi	NOUN	nb_g2p	2	ˈʉnərʋɑstəknulugˌiː	nb_g2p_fallback	
123165	kassebetjent	NOUN	nb_g2p	2	kˈɑsəbətjˌeːnt	nb_g2p_fallback	
135957	vassfull	ADJ	nb_g2p	2	ʋˈɑsfˌʉl	nb_g2p_fallback	
117131	hornaktig	ADJ	nb_g2p	2	hˈuːɳˌɑktɪ	nb_g2p_fallback	
113135	fjellmarkmus	NOUN	nb_g2p	2	fjˈɛlmɑrkmˌʉːs	nb_g2p_fallback	
123508	nikotinavhengig	ADJ	nb_g2p	1	nɪkutˈiːnɑːʋhˌɛŋɪ	nb_g2p_fallback	
119704	kokosbolle	NOUN	nb_g2p	1	kˈukusbˌɔlə	nb_g2p_fallback	
128032	skalkefest	NOUN	nb_g2p	2	skˈɑlkəfˌɛst	nb_g2p_fallback	
109650	fjellgrunn	NOUN	nb_g2p	2	fjˈɛlgrˌʉn	nb_g2p_fallback	
136282	platetektonikk	NOUN	nb_g2p	2	plˈɑːtətəktunˈɪk	nb_g2p_fallback	
128933	slottspark	NOUN	nb_g2p	1	ʃlˈɔtspˌɑrk	nb_g2p_fallback	
70755	syndikere	VERB	nb_g2p	1	sʏndɪkˈeːrə	nb_g2p_fallback	
110315	borddekning	NOUN	nb_g2p	2	bˈuːrdˌɛknɪŋ	nb_g2p_fallback	
32656	kølsviertru	NOUN	nb_g2p	1	kˈœlsʋiːəʈrˌuː	nb_g2p_fallback	
127910	vrangtvetann	NOUN	nb_g2p	1	ʋrˈɑŋtʋətˌɑn	nb_g2p_fallback	
70312	IT-næring	NOUN	nb_g2p	2	ˈiːtənˌæːrɪŋ	loan_or_foreign	
42540	opplæring	NOUN	nb_uttale	1	ˈɔˌplæːrɪŋ	loan_or_foreign	
48432	reumatisme	NOUN	nb_uttale	1	rəvmɑˈtɪːsmə	loan_or_foreign	
136076	universalisering	NOUN	nb_uttale	1	ʉnɪvəʂɑlɪˈseːrɪŋ	loan_or_foreign	
106854	sprengning	NOUN	nb_uttale	2	ˈsprɛŋnɪŋ	loan_or_foreign	
50922	senkning	NOUN	nb_uttale	2	ˈsɛŋknɪŋ	loan_or_foreign	
130640	sumobryting	NOUN	nb_uttale	1	ˈsʉːmʊˌbryːtɪŋ	loan_or_foreign	
51233	sherry	NOUN	nb_uttale	1	ˈʃærʏ	loan_or_foreign	
42994	øying	NOUN	nb_uttale	2	ˈœ͡ʏɪŋ	loan_or_foreign	
51013	sentring	NOUN	nb_uttale	2	ˈsɛntrɪŋ	loan_or_foreign	
43993	paneling	NOUN	nb_uttale	1	pɑˈneːlɪŋ	loan_or_foreign	
1110	årring	NOUN	nb_uttale	2	ˈoːrˌrɪŋ	loan_or_foreign	
102007	Kristi forklarelsesdag	EXPR				expression_phrase	phrase/idiom; useful phrase-prosody slice
103403	kongens kar	EXPR				expression_phrase	phrase/idiom; useful phrase-prosody slice
103141	interessere seg for	EXPR				expression_phrase	phrase/idiom; useful phrase-prosody slice
107440	i og med	ADP				expression_phrase	phrase/idiom; useful phrase-prosody slice
105822	til køys	EXPR				expression_phrase	phrase/idiom; useful phrase-prosody slice
121624	i lag	ADV				expression_phrase	phrase/idiom; useful phrase-prosody slice
134491	ute av spill	EXPR				expression_phrase	phrase/idiom; useful phrase-prosody slice
104533	like ratt	EXPR				expression_phrase	phrase/idiom; useful phrase-prosody slice
102602	ta hånd i hanke med	EXPR				expression_phrase	phrase/idiom; useful phrase-prosody slice
105968	miste tråden	EXPR				expression_phrase	phrase/idiom; useful phrase-prosody slice
120263	nihalet katt	EXPR				expression_phrase	phrase/idiom; useful phrase-prosody slice
103627	et levende leksikon	EXPR				expression_phrase	phrase/idiom; useful phrase-prosody slice
102471	de små grå	EXPR				expression_phrase	phrase/idiom; useful phrase-prosody slice
120713	Sareptas krukke	EXPR				expression_phrase	phrase/idiom; useful phrase-prosody slice
116958	henfalle i	EXPR				expression_phrase	phrase/idiom; useful phrase-prosody slice
102738	skrive historie	EXPR				expression_phrase	phrase/idiom; useful phrase-prosody slice
103000	på høygir	EXPR				expression_phrase	phrase/idiom; useful phrase-prosody slice
105446	finne sted	EXPR				expression_phrase	phrase/idiom; useful phrase-prosody slice
115269	tørke gliset av	EXPR				expression_phrase	phrase/idiom; useful phrase-prosody slice
18358	fullbåren	ADJ	nb_uttale	2	ˈfʉlˌboːɳ̩	general_mix	
18920	galleeple	NOUN	nb_uttale	2	ˈgɑləˌɛplə	general_mix	
56516	spørres	VERB	nb_uttale	2	ˈspœrəs	general_mix	
3205	auksjon	NOUN	nb_uttale	1	æ͡ʉkˈʃuːn	general_mix	
